Vessel	branches from
ID	SC 'connected to' some %
VCCF:1000272	VCCF:1000241
VCCF:1000273	VCCF:1000241
VCCF:1000274	VCCF:1000241
VCCF:1000275	VCCF:1000241
VCCF:1000276	VCCF:1000275
VCCF:1000277	VCCF:1000276
VCCF:1000278	VCCF:1000276
VCCF:1000279	VCCF:1000276
VCCF:1000280	VCCF:1000275
VCCF:1000281	VCCF:1000280
VCCF:1000282	VCCF:1000280
VCCF:1000283	VCCF:1000282
VCCF:1000284	VCCF:1000283
VCCF:1000285	VCCF:1000284
VCCF:1000286	VCCF:1000285
VCCF:1000287	VCCF:1000285
VCCF:1000288	VCCF:1000284
VCCF:1000289	VCCF:1000283
VCCF:1000290	VCCF:1000283
VCCF:1000291	VCCF:1000290
VCCF:1000292	VCCF:1000291
VCCF:1000293	VCCF:1000291
VCCF:1000294	VCCF:1000283
VCCF:1000295	VCCF:1000294
VCCF:1000296	VCCF:1000295
VCCF:1000297	VCCF:1000295
VCCF:1000298	VCCF:1000283
VCCF:1000299	VCCF:1000283
VCCF:1000300	VCCF:1000299
VCCF:1000301	VCCF:1000300
VCCF:1000302	VCCF:1000300
VCCF:1000303	VCCF:1000283
VCCF:1000304	VCCF:1000282
VCCF:1000305	VCCF:1000304
VCCF:1000306	VCCF:1000280
VCCF:1000307	VCCF:1000280
VCCF:1000308	VCCF:1000307
VCCF:1000309	VCCF:1000307
VCCF:1000310	VCCF:1000223
VCCF:1000311	VCCF:1000223
VCCF:1000312	VCCF:1000311
VCCF:1000313	VCCF:1000311
VCCF:1000314	VCCF:1000311
VCCF:1000315	VCCF:1000222
VCCF:1000316	VCCF:1000315
VCCF:1000317	VCCF:1000316
VCCF:1000318	VCCF:1000316
VCCF:1000319	VCCF:1000318
VCCF:1000320	VCCF:1000319
VCCF:1000321	VCCF:1000319
VCCF:1000322	VCCF:1000316
VCCF:1000323	VCCF:1000322
VCCF:1000324	VCCF:1000323
VCCF:1000325	VCCF:1000323
VCCF:1000326	VCCF:1000323
VCCF:1000327	VCCF:1000326
VCCF:1000328	VCCF:1000323
VCCF:1000329	VCCF:1000322
VCCF:1000330	VCCF:1000322
